,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
147,148,8,0.123315376453143,0.59286083367171,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,1.0,1.0
148,149,9,0.007098619213555,0.677774784884778,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.07098619213554999,1.0
149,150,10,0.197247689863348,0.911237657347551,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,1.0,1.0
150,151,11,0.788481437078853,5.636158487482e-05,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.0005636158487482
151,152,12,0.143834419549863,0.0,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.0
152,153,13,0.336999069695823,0.0001613043476564,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.001613043476564
153,154,14,0.587426050940332,0.0004863623424905,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.004863623424905
154,155,15,0.173562599758556,0.0002482900060168,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.0024829000601679996
155,156,16,0.512714118345023,2.10352848968309e-05,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.000210352848968309
156,157,17,0.0379788326486271,0.0081922126273963,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,0.37978832648627103,0.081922126273963
157,158,18,0.225281573093583,3.11909571198976e-06,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,3.11909571198976e-05
158,159,19,0.752297340266851,0.0002183832218167,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.002183832218167
159,160,20,0.294770956272084,8.45740319416199e-05,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.000845740319416199
160,161,21,0.935055439382423,0.300134925581137,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
161,162,22,0.159447977277936,0.773091249274429,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
162,163,23,0.961326945099591,0.690499844458545,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
163,164,24,0.311783466754978,0.379861255452259,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
164,165,25,0.244659548908496,0.895470496557386,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
165,166,26,0.980099573332493,0.9151578624283,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
166,167,27,0.264959132294422,0.78825002357763,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
167,168,28,0.533101736379217,0.96830231142702,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
168,169,29,0.520042945637272,0.619939350507274,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
169,170,30,0.237191597436348,0.712914062322277,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
170,171,31,0.203746408789617,0.0675748501509341,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,0.6757485015093411
171,172,32,0.138517004113093,0.0059356649813956,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,0.059356649813956004
172,173,33,0.947379967830773,0.004360933141519,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,0.043609331415189995
173,174,34,0.193483054624562,0.42098588739992,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
174,175,35,0.938960176011565,0.018441750968637,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,0.18441750968637
175,176,36,0.799690124495567,0.211879022000419,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
176,177,37,0.925835050629713,0.0213439232179017,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,0.213439232179017
177,178,38,0.517253020563163,0.534885818639119,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
178,179,39,0.990398210229426,0.0183345365232607,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,0.183345365232607
179,180,40,0.118419643751552,0.0092529291483388,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,0.092529291483388
180,181,21,0.135683105803951,0.811796473153974,Hunting,1,linear,True,instFirstReadP-Qfr-P-instReReadP-Q-P,prompt_regime_context,1,0,1,1,0,1.0,1.0
181,182,22,0.0570014577206631,0.784269053500003,Hunting,1,linear,True,instFirstReadP-Qfr-P-instReReadP-Q-P,prompt_regime_context,1,0,1,1,0,0.570014577206631,1.0
