"","X","has_preview_condition","reread_condition","linear","p_val","surp_column","model_id","model_family","model_size","model_size_milions","model_name_with_size","ppl"
"101",1,"Gathering",0,"nonlinear",0.347,"gpt2-xl-Surprisal-Context-P","gpt2-xl","GPT-2","1558M",1558,"1558M GPT-2",16.9002914428711
"102",2,"Gathering",1,"nonlinear",0.868,"gpt2-xl-Surprisal-Context-P","gpt2-xl","GPT-2","1558M",1558,"1558M GPT-2",16.9002914428711
"103",3,"Hunting",0,"nonlinear",0.066,"gpt2-xl-Surprisal-Context-P","gpt2-xl","GPT-2","1558M",1558,"1558M GPT-2",16.9002914428711
"104",4,"Hunting",1,"nonlinear",0.186,"gpt2-xl-Surprisal-Context-P","gpt2-xl","GPT-2","1558M",1558,"1558M GPT-2",16.9002914428711
"105",1,"Gathering",0,"nonlinear",0,"meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-P","meta-llama-Llama-2-13b-chat-hf","Llama-2","13B",13000,"13B Llama-2 Chat",11.0872163772583
"106",2,"Gathering",1,"nonlinear",0,"meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-P","meta-llama-Llama-2-13b-chat-hf","Llama-2","13B",13000,"13B Llama-2 Chat",11.0872163772583
"107",3,"Hunting",0,"nonlinear",0,"meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-P","meta-llama-Llama-2-13b-chat-hf","Llama-2","13B",13000,"13B Llama-2 Chat",11.0872163772583
"108",4,"Hunting",1,"nonlinear",0.021,"meta-llama-Llama-2-13b-chat-hf-Surprisal-Context-P","meta-llama-Llama-2-13b-chat-hf","Llama-2","13B",13000,"13B Llama-2 Chat",11.0872163772583
"109",1,"Gathering",0,"nonlinear",0,"meta-llama-Llama-2-13b-hf-Surprisal-Context-P","meta-llama-Llama-2-13b-hf","Llama-2","13B",13000,"13B Llama-2",8.39946174621582
"110",2,"Gathering",1,"nonlinear",0,"meta-llama-Llama-2-13b-hf-Surprisal-Context-P","meta-llama-Llama-2-13b-hf","Llama-2","13B",13000,"13B Llama-2",8.39946174621582
"111",3,"Hunting",0,"nonlinear",0,"meta-llama-Llama-2-13b-hf-Surprisal-Context-P","meta-llama-Llama-2-13b-hf","Llama-2","13B",13000,"13B Llama-2",8.39946174621582
"112",4,"Hunting",1,"nonlinear",0.023,"meta-llama-Llama-2-13b-hf-Surprisal-Context-P","meta-llama-Llama-2-13b-hf","Llama-2","13B",13000,"13B Llama-2",8.39946174621582
"113",1,"Gathering",0,"nonlinear",0.009,"meta-llama-Llama-2-70b-hf-Surprisal-Context-P","meta-llama-Llama-2-70b-hf","Llama-2","70B",70000,"70B Llama-2",7.2031192779541
"114",2,"Gathering",1,"nonlinear",0.004,"meta-llama-Llama-2-70b-hf-Surprisal-Context-P","meta-llama-Llama-2-70b-hf","Llama-2","70B",70000,"70B Llama-2",7.2031192779541
"115",3,"Hunting",0,"nonlinear",0.007,"meta-llama-Llama-2-70b-hf-Surprisal-Context-P","meta-llama-Llama-2-70b-hf","Llama-2","70B",70000,"70B Llama-2",7.2031192779541
"116",4,"Hunting",1,"nonlinear",0.044,"meta-llama-Llama-2-70b-hf-Surprisal-Context-P","meta-llama-Llama-2-70b-hf","Llama-2","70B",70000,"70B Llama-2",7.2031192779541
"117",1,"Gathering",0,"nonlinear",0.008,"meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-P","meta-llama-Llama-2-7b-chat-hf","Llama-2","7B",7000,"7B Llama-2 Chat",12.8955240249634
"118",2,"Gathering",1,"nonlinear",0.03,"meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-P","meta-llama-Llama-2-7b-chat-hf","Llama-2","7B",7000,"7B Llama-2 Chat",12.8955240249634
"119",3,"Hunting",0,"nonlinear",0.001,"meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-P","meta-llama-Llama-2-7b-chat-hf","Llama-2","7B",7000,"7B Llama-2 Chat",12.8955240249634
"120",4,"Hunting",1,"nonlinear",0.412,"meta-llama-Llama-2-7b-chat-hf-Surprisal-Context-P","meta-llama-Llama-2-7b-chat-hf","Llama-2","7B",7000,"7B Llama-2 Chat",12.8955240249634
"121",1,"Gathering",0,"nonlinear",0.006,"meta-llama-Llama-2-7b-hf-Surprisal-Context-P","meta-llama-Llama-2-7b-hf","Llama-2","7B",7000,"7B Llama-2",9.04788398742676
"122",2,"Gathering",1,"nonlinear",0.157,"meta-llama-Llama-2-7b-hf-Surprisal-Context-P","meta-llama-Llama-2-7b-hf","Llama-2","7B",7000,"7B Llama-2",9.04788398742676
"123",3,"Hunting",0,"nonlinear",0.064,"meta-llama-Llama-2-7b-hf-Surprisal-Context-P","meta-llama-Llama-2-7b-hf","Llama-2","7B",7000,"7B Llama-2",9.04788398742676
